codigo_ibge_6,codigo_ibge_7,municipio_ibge
330010,3300100,Angra dos Reis
330015,3300159,Aperibe
330020,3300209,Araruama
330022,3300225,Areal
330023,3300233,Armacao dos Buzios
330025,3300258,Arraial do Cabo
330030,3300308,Barra do Pirai
330040,3300407,Barra Mansa
330045,3300456,Belford Roxo
330050,3300506,Bom Jardim
330060,3300605,Bom Jesus do Itabapoana
330070,3300704,Cabo Frio
330080,3300803,Cachoeiras de Macacu
330090,3300902,Cambuci
330093,3300936,Carapebus
330095,3300951,Comendador Levy Gasparian
330100,3301009,Campos dos Goytacazes
330110,3301108,Cantagalo
330115,3301157,Cardoso Moreira
330120,3301207,Carmo
330130,3301306,Casimiro de Abreu
330140,3301405,Conceicao de Macabu
330150,3301504,Cordeiro
330160,3301603,Duas Barras
330170,3301702,Duque de Caxias
330180,3301801,Engenheiro Paulo de Frontin
330185,3301850,Guapimirim
330187,3301876,Iguaba Grande
330190,3301900,Itaborai
330200,3302007,Itaguai
330205,3302056,Italva
330210,3302106,Itaocara
330220,3302205,Itaperuna
330225,3302254,Itatiaia
330227,3302270,Japeri
330230,3302304,Laje do Muriae
330240,3302403,Macae
330245,3302452,Macuco
330250,3302502,Mage
330260,3302601,Mangaratiba
330270,3302700,Marica
330280,3302809,Mendes
330285,3302858,Mesquita
330290,3302908,Miguel Pereira
330300,3303005,Miracema
330310,3303104,Natividade
330320,3303203,Nilopolis
330330,3303302,Niteroi
330340,3303401,Nova Friburgo
330350,3303500,Nova Iguacu
330360,3303609,Paracambi
330370,3303708,Paraiba do Sul
330380,3303807,Paraty
330385,3303856,Paty do Alferes
330390,3303906,Petropolis
330395,3303955,Pinheiral
330400,3304003,Pirai
330410,3304102,Porciuncula
330411,3304110,Porto Real
330412,3304128,Quatis
330414,3304144,Queimados
330415,3304151,Quissama
330420,3304201,Resende
330430,3304300,Rio Bonito
330440,3304409,Rio Claro
330450,3304508,Rio das Flores
330452,3304524,Rio das Ostras
330455,3304557,Rio de Janeiro
330460,3304607,Santa Maria Madalena
330470,3304706,Santo Antonio de Padua
330475,3304755,Sao Francisco de Itabapoana
330480,3304805,Sao Fidelis
330490,3304904,Sao Goncalo
330500,3305000,Sao Joao da Barra
330510,3305109,Sao Joao de Meriti
330513,3305133,Sao Jose de Uba
330515,3305158,Sao Jose do Vale do Rio Preto
330520,3305208,Sao Pedro da Aldeia
330530,3305307,Sao Sebastiao do Alto
330540,3305406,Sapucaia
330550,3305505,Saquarema
330555,3305554,Seropedica
330560,3305604,Silva Jardim
330570,3305703,Sumidouro
330575,3305752,Tangua
330580,3305802,Teresopolis
330590,3305901,Trajano de Moraes
330600,3306008,Tres Rios
330610,3306107,Valenca
330615,3306156,Varre-Sai
330620,3306206,Vassouras
330630,3306305,Volta Redonda
